各縣市人口年齡結構重要指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,        中 華 民 國 115 年 2 月 底 ,,,,,,,,,,,,,,,,         單位：人；%
區域別,總     計,,,0 ～ 4歲,,,,0 ～ 6歲,,,,0 ～ 11歲,,,,0 ～ 12歲,,,,12 ～ 17歲,,,,20歲以上,,,,65歲以上,,,
,計,男,女,計,男,女,％,計,男,女,％,計,男,女,％,計,男,女,％,計,男,女,％,計,男,女,％,計,男,女,％
 總    計 ,"23,280,273","11,450,829","11,829,444","674,154","348,603","325,551",2.90,"1,014,436","524,891","489,545",4.36,"2,031,002","1,051,002","980,000",8.72,"2,226,023","1,152,023","1,074,000",9.56,"1,194,562","620,008","574,554",5.13,"19,642,978","9,565,036","10,077,942",84.38,"4,707,676","2,119,084","2,588,592",20.22
新北市,"4,043,220","1,960,515","2,082,705","104,939","53,998","50,941",2.60,"159,890","82,296","77,594",3.95,"326,325","168,052","158,273",8.07,"358,573","184,788","173,785",8.87,"201,049","104,313","96,736",4.97,"3,445,959","1,651,645","1,794,314",85.23,"813,604","357,363","456,241",20.12
臺北市,"2,434,479","1,146,180","1,288,299","70,639","36,190","34,449",2.90,"106,241","54,649","51,592",4.36,"219,203","112,918","106,285",9.00,"241,553","124,406","117,147",9.92,"127,766","66,045","61,721",5.25,"2,049,367","947,491","1,101,876",84.18,"592,649","257,830","334,819",24.34
桃園市,"2,355,512","1,158,038","1,197,474","81,229","41,813","39,416",3.45,"121,348","62,618","58,730",5.15,"236,657","122,436","114,221",10.05,"258,378","133,685","124,693",10.97,"132,415","68,757","63,658",5.62,"1,941,511","943,297","998,214",82.42,"397,738","178,600","219,138",16.89
臺中市,"2,868,409","1,397,771","1,470,638","90,964","47,202","43,762",3.17,"137,551","71,292","66,259",4.80,"278,007","144,201","133,806",9.69,"304,270","157,741","146,529",10.61,"159,945","82,832","77,113",5.58,"2,376,311","1,142,767","1,233,544",82.84,"503,511","225,965","277,546",17.55
臺南市,"1,851,244","916,659","934,585","49,121","25,722","23,399",2.65,"75,564","39,437","36,127",4.08,"154,554","80,305","74,249",8.35,"169,817","88,160","81,657",9.17,"92,477","47,790","44,687",5.00,"1,572,956","772,223","800,733",84.97,"382,363","175,041","207,322",20.65
高雄市,"2,715,827","1,327,589","1,388,238","75,767","39,236","36,531",2.79,"112,977","58,408","54,569",4.16,"223,500","115,733","107,767",8.23,"244,645","126,708","117,937",9.01,"130,425","67,353","63,072",4.80,"2,315,950","1,120,539","1,195,411",85.28,"569,133","252,725","316,408",20.96
臺灣省,"6,859,048","3,467,177","3,391,871","198,141","102,650","95,491",2.89,"295,996","153,614","142,382",4.32,"583,581","302,542","281,039",8.51,"638,812","331,307","307,505",9.31,"344,905","180,013","164,892",5.03,"5,806,025","2,919,441","2,886,584",84.65,"1,418,749","656,920","761,829",20.68
